Age,Income,Coapplicant_Income,Dependents,Employ_Status,Debt,PrevLDefault,CIBIL_Score,Loan_Approval
75,81371,56790,2,Self-employed,14327,1,475,1
58,138639,82253,0,Self-employed,89828,0,616,0
27,72527,71735,4,Employed,85739,0,570,1
43,64640,18418,0,Employed,42827,0,573,1
27,93609,4685,4,Self-employed,60740,1,476,1
40,140571,91930,1,Employed,14013,0,586,1
77,59836,72786,1,Employed,27545,0,639,1
39,35654,84262,4,Employed,17322,0,578,1
22,35057,23290,5,Unemployed,48571,0,575,1
25,76024,12282,5,Employed,51381,0,590,1
61,68713,44930,5,Self-employed,20676,0,543,1
38,79772,20719,2,Unemployed,49454,1,463,1
27,135039,9256,4,Employed,57204,0,553,1
78,101780,52172,2,Unemployed,18629,0,591,0
58,76911,4673,4,Self-employed,19448,1,443,0
54,142671,50133,0,Unemployed,15806,1,491,1
39,39309,86474,1,Unemployed,9294,0,623,1
41,87387,80473,3,Employed,95790,0,563,1
47,46008,55346,1,Employed,88428,1,453,1
44,22430,57846,5,Self-employed,92111,1,452,1
43,50528,78668,0,Unemployed,47492,1,473,1
64,149896,74711,4,Employed,86086,0,556,1
73,88887,22392,4,Self-employed,98818,1,457,1
58,139402,60509,2,Self-employed,67614,0,593,0
31,90466,8792,1,Self-employed,34288,1,472,1
29,58755,24957,5,Employed,3018,0,559,0
47,73443,13114,5,Employed,74175,0,556,1
56,48411,59022,0,Unemployed,88732,1,441,1
48,52595,48080,2,Self-employed,15653,0,628,0
53,49380,74899,4,Unemployed,21120,0,591,1
37,60917,35878,1,Employed,77914,1,434,0
74,27676,33913,0,Self-employed,92811,1,483,1
76,143193,34679,1,Self-employed,49997,1,460,1
80,92011,89595,3,Employed,78787,0,591,0
42,108575,64999,0,Employed,2517,0,600,1
64,80582,39007,4,Self-employed,75737,1,452,0
50,105589,75446,2,Employed,4943,1,488,1
37,140719,53041,1,Unemployed,38209,0,586,0
61,51269,54488,5,Self-employed,8140,1,405,0
27,127406,26987,3,Self-employed,73158,0,546,1
31,109334,88689,0,Employed,71222,1,450,1
58,115861,84057,1,Unemployed,74872,1,456,0
80,94394,2220,2,Unemployed,81176,0,556,1
38,143290,30698,4,Self-employed,92567,1,396,1
36,28550,45323,1,Unemployed,90418,0,591,1
51,77315,88122,1,Self-employed,95308,1,472,0
34,112214,95788,1,Unemployed,99770,0,623,0
47,95469,37069,4,Self-employed,59919,0,544,0
60,109802,47969,4,Self-employed,99700,0,563,0
64,94966,44645,2,Self-employed,2677,1,474,0
68,67915,5061,4,Employed,97370,0,527,0
41,33494,74802,5,Employed,68041,0,530,0
72,96532,62928,1,Self-employed,89250,1,454,0
43,118891,71251,4,Unemployed,23994,1,421,0
80,128712,93802,0,Employed,37857,1,491,1
70,103043,39649,2,Unemployed,73610,1,489,0
57,100525,93044,0,Unemployed,51453,1,498,1
79,37980,49776,2,Self-employed,59017,0,567,1
48,109133,5353,2,Unemployed,49996,1,476,1
21,67834,11357,0,Employed,43309,1,467,0
61,19107,52283,1,Employed,23764,1,488,0
79,101316,67763,4,Employed,68364,0,539,0
74,122893,64021,0,Employed,40825,0,624,0
49,75172,45315,4,Self-employed,91624,0,561,1
57,148616,22892,0,Self-employed,27376,1,524,0
32,42091,96307,3,Unemployed,40965,1,425,0
67,135188,37163,0,Employed,9390,1,474,0
71,25485,61022,1,Self-employed,49244,1,503,0
30,98014,71629,4,Self-employed,6059,1,489,0
28,47811,78379,2,Self-employed,92374,1,475,1
70,36391,37754,2,Employed,83748,0,615,0
78,113244,42447,1,Self-employed,18789,1,513,1
39,46501,54815,2,Employed,44112,1,500,0
22,143634,90083,3,Self-employed,80478,1,414,1
36,18182,36561,3,Employed,3597,1,441,0
48,18034,56132,2,Employed,41719,1,446,0
67,145983,40179,1,Self-employed,48457,1,473,1
53,41896,12938,5,Unemployed,14291,1,403,1
60,114426,64872,4,Self-employed,77166,0,569,1
70,134699,1891,3,Employed,86478,1,466,0
61,61737,72894,5,Unemployed,69142,0,556,1
65,124483,95272,4,Self-employed,22937,0,611,0
67,58682,65383,5,Employed,69874,0,570,0
80,111737,67622,4,Employed,24233,1,477,1
30,135496,47440,1,Self-employed,35766,0,595,1
64,107199,19554,2,Employed,40628,0,612,0
35,88308,99788,1,Unemployed,31566,1,514,0
51,53246,4535,5,Unemployed,51550,1,440,1
67,43059,43831,5,Unemployed,37240,1,429,1
52,106110,82699,3,Unemployed,17606,1,431,1
53,146727,85395,1,Self-employed,64221,0,604,0
76,88574,51660,5,Unemployed,29338,0,610,0
37,35297,78607,0,Employed,37683,1,452,0
42,137194,86468,3,Unemployed,96752,0,596,0
64,116093,47082,5,Employed,29213,1,421,0
79,129190,74662,5,Unemployed,5627,0,571,0
55,127622,80221,4,Self-employed,80700,1,431,1
42,140901,63259,2,Employed,84119,1,488,0
63,132797,32396,4,Self-employed,15339,0,598,0
70,90269,28028,5,Self-employed,43967,0,558,0
40,24778,41390,1,Self-employed,64812,0,566,1
49,70978,80304,1,Employed,14473,1,486,0
72,108574,15406,0,Unemployed,86950,1,471,0
54,123733,50795,5,Employed,95473,1,436,1
29,45151,33195,3,Employed,96286,1,448,0
64,119858,59667,1,Employed,29763,1,513,0
43,47412,2587,4,Employed,60450,0,557,0
45,115936,1266,5,Unemployed,25375,1,420,0
68,114787,81051,5,Employed,42309,0,587,0
32,110609,50247,3,Employed,43288,1,421,1
22,105551,47646,1,Self-employed,64575,0,617,1
64,117222,44585,1,Employed,10028,0,621,1
26,95420,66176,1,Self-employed,67374,0,633,0
80,15108,91083,5,Self-employed,42626,1,470,0
28,51235,50075,4,Unemployed,78836,1,397,0
37,57790,11084,5,Employed,59503,1,461,1
62,98351,34366,4,Unemployed,93674,1,410,0
49,121104,78215,3,Unemployed,69067,1,429,0
36,93075,96351,5,Unemployed,92169,1,428,1
79,73691,68692,0,Unemployed,60202,1,471,0
38,40563,31887,0,Employed,3777,0,621,1
58,82807,7029,3,Unemployed,90953,0,590,1
78,130529,62359,1,Employed,59388,0,618,1
52,74208,34584,1,Unemployed,44262,1,455,0
55,70753,15095,0,Unemployed,17618,1,496,0
37,134691,91845,2,Self-employed,81343,1,457,0
63,101077,67224,2,Self-employed,6303,0,642,0
69,134498,92813,1,Unemployed,10578,0,658,0
57,113386,72783,4,Employed,4563,0,617,0
43,47610,92147,2,Self-employed,5866,1,494,0
40,86496,9771,3,Self-employed,83499,0,534,1
52,36798,57007,1,Employed,49210,1,475,0
38,79762,17505,4,Unemployed,10999,1,430,1
66,135972,93732,1,Employed,34930,1,483,0
29,36392,70714,3,Unemployed,5219,1,504,0
58,33349,41874,3,Unemployed,27434,0,576,0
30,89893,45060,2,Self-employed,77210,1,441,1
42,133867,37835,1,Unemployed,29617,0,628,1
57,78870,88974,3,Unemployed,23853,0,573,1
71,132970,45200,3,Self-employed,98325,1,477,1
60,48870,41741,3,Self-employed,77301,1,438,0
61,99004,94410,3,Self-employed,7267,1,463,1
60,56653,95889,3,Employed,61914,0,571,0
40,132513,82097,2,Self-employed,48043,0,593,0
80,82326,2076,4,Self-employed,51722,0,558,1
47,15085,95122,3,Employed,27862,1,426,1
57,116799,62249,3,Employed,51553,1,425,1
61,138351,1273,1,Employed,39455,0,589,1
59,107626,96535,0,Unemployed,81237,1,473,1
40,42046,59349,4,Unemployed,92299,1,431,1
77,61688,42632,0,Unemployed,51749,1,504,1
29,66650,94642,4,Employed,79291,1,401,1
35,124316,6851,0,Employed,99722,1,465,0
74,60863,80468,4,Employed,20204,0,564,1
70,94659,74950,0,Employed,18126,1,457,1
72,130137,58434,0,Unemployed,45432,1,473,0
72,24794,1325,2,Self-employed,21942,1,460,1
48,108494,95201,4,Unemployed,95562,0,599,0
24,105596,52971,1,Employed,59017,0,603,0
36,145248,83252,0,Employed,33792,0,643,1
23,108935,17206,1,Unemployed,27219,1,506,0
43,42382,79755,0,Unemployed,40412,0,606,0
26,36259,86397,3,Self-employed,28407,0,628,0
26,38556,81370,4,Self-employed,25313,0,618,0
39,45292,50334,1,Self-employed,1654,0,617,1
58,33406,76329,2,Employed,17206,0,610,0
50,123088,9919,3,Employed,18895,1,446,1
33,63264,65478,5,Employed,47794,1,461,0
49,36213,99602,1,Unemployed,28524,0,581,0
27,80423,30046,2,Self-employed,72677,1,416,0
70,70713,97704,4,Employed,59564,0,607,0
65,39400,15964,3,Unemployed,17392,0,555,1
26,84010,4046,5,Unemployed,33227,1,463,1
37,134444,83548,0,Self-employed,25947,0,639,0
26,34879,58072,5,Unemployed,34738,0,539,0
73,87286,75567,5,Unemployed,611,0,589,1
77,36113,80029,4,Self-employed,41806,1,406,0
47,26268,8692,1,Self-employed,90341,0,551,0
40,27476,8339,4,Self-employed,60164,0,529,0
60,143190,185,5,Self-employed,88696,1,393,1
58,92704,50124,2,Self-employed,37137,0,604,1
46,19861,94999,1,Employed,96189,1,489,1
57,113654,70263,3,Unemployed,39685,0,551,0
36,95063,89683,3,Unemployed,1864,0,602,0
42,86249,81148,1,Employed,21387,1,501,1
39,32711,85269,0,Self-employed,60413,1,487,1
43,124408,35059,2,Unemployed,61991,1,427,1
50,78622,77157,2,Self-employed,4583,0,588,1
35,49719,88268,3,Self-employed,34849,0,573,0
21,101381,27867,3,Unemployed,54251,0,609,1
26,71050,13811,0,Self-employed,32414,0,635,0
44,38660,87496,5,Employed,20411,0,562,1
54,25908,25923,0,Unemployed,61729,1,491,0
59,73417,24283,5,Employed,55347,0,585,1
28,70162,1807,1,Unemployed,5798,0,639,1
53,55043,7951,5,Unemployed,93820,0,574,1
70,55316,39362,5,Unemployed,59731,0,553,1
39,26797,21918,1,Self-employed,88747,1,429,0
50,109659,18480,5,Unemployed,42268,0,573,1
36,68217,7105,3,Unemployed,45069,1,432,0
66,56193,97485,3,Employed,54276,1,478,0
49,43586,93704,3,Unemployed,9133,1,497,0
41,51471,63924,2,Self-employed,58653,1,450,0
47,136455,30057,4,Employed,68845,0,559,1
37,34388,40998,3,Self-employed,54072,1,428,0
27,92637,8086,4,Employed,5053,0,583,0
59,60097,26102,0,Employed,67615,0,584,0
45,82345,65570,2,Employed,19440,1,469,1
27,63709,40304,5,Employed,14282,0,539,1
64,104393,92123,3,Employed,74348,1,438,1
78,48472,91324,5,Self-employed,21200,0,608,1
42,26955,55439,3,Employed,7508,0,569,0
70,126647,30971,1,Employed,40628,0,585,0
42,44018,69479,4,Employed,88854,1,398,1
62,73916,91394,5,Unemployed,95269,1,443,0
57,127267,94508,0,Unemployed,81532,0,592,0
62,112905,96279,0,Unemployed,2761,1,532,0
61,144278,15977,4,Self-employed,63993,0,582,1
40,22915,37044,5,Unemployed,43097,0,573,1
25,106958,85610,2,Self-employed,36694,1,492,0
75,22206,99891,2,Self-employed,6966,0,617,1
55,56099,39001,3,Employed,69045,0,588,1
79,135597,20047,4,Employed,87515,0,545,1
33,23435,87602,0,Employed,28448,0,599,1
80,85876,36494,2,Unemployed,73398,0,596,1
36,53825,9728,1,Self-employed,10856,0,581,0
68,73400,73457,0,Self-employed,74146,0,592,1
73,28227,37591,0,Employed,22143,1,453,0
60,110262,34694,1,Unemployed,25871,1,509,0
42,128276,26755,1,Employed,73175,1,490,1
22,52757,8341,3,Self-employed,77347,1,468,0
72,71572,63262,3,Employed,56231,0,604,0
66,33573,55852,3,Employed,95268,1,433,0
49,94035,13619,4,Employed,33574,1,474,1
44,121671,49876,4,Self-employed,90512,0,593,1
57,32216,14713,5,Employed,76802,0,569,0
74,95720,85558,2,Self-employed,15826,0,585,1
38,40670,91168,3,Employed,54779,0,545,1
39,67725,78274,1,Self-employed,52323,1,481,1
49,126447,30818,2,Employed,86667,1,474,1
48,21587,96436,5,Unemployed,98394,0,552,0
72,133583,22317,5,Self-employed,31785,1,402,0
63,81784,60064,4,Unemployed,27705,0,560,1
59,84987,14479,1,Employed,62797,1,447,1
31,43344,39312,2,Self-employed,42928,0,617,0
47,92747,55143,5,Self-employed,16585,1,480,0
66,30985,20176,3,Employed,92727,1,415,1
54,122598,91481,5,Employed,7550,1,480,0
23,88729,31029,4,Self-employed,26349,0,607,1
80,148408,8427,5,Employed,33987,1,429,1
78,55868,88626,3,Self-employed,64092,1,478,0
59,116660,10423,3,Self-employed,83277,0,611,0
53,99736,6656,3,Employed,23693,0,569,1
42,45287,56583,0,Self-employed,41590,1,473,1
33,46492,43812,2,Unemployed,83812,1,463,0
40,80208,15629,2,Unemployed,76611,0,607,1
74,125504,49176,3,Self-employed,8556,1,468,0
39,57037,50662,3,Employed,68183,0,535,1
79,22910,45188,4,Unemployed,98470,0,588,0
29,20971,88279,2,Unemployed,11990,0,567,0
32,67483,61592,5,Unemployed,44919,0,531,0
62,70159,93310,4,Employed,86886,0,601,1
79,123522,63495,4,Unemployed,19318,0,624,1
44,20798,48593,0,Employed,77673,0,615,0
48,81610,25471,5,Self-employed,81841,0,527,1
79,105768,98950,2,Employed,69145,1,480,0
72,39237,73431,3,Self-employed,25379,1,463,0
37,98344,68528,5,Employed,68142,0,529,1
25,121234,21366,2,Employed,13956,0,632,1
68,73192,42211,4,Self-employed,31510,1,481,0
33,64395,54050,1,Unemployed,6402,0,630,1
75,57615,98856,4,Employed,28201,0,583,1
55,107476,3954,0,Self-employed,32722,0,584,0
44,64416,52502,1,Employed,97344,1,477,0
62,36119,31854,5,Unemployed,3370,0,570,1
40,85831,60548,2,Employed,29447,0,598,0
54,122188,53304,2,Self-employed,26619,1,438,0
52,74655,34147,1,Self-employed,49041,0,565,1
38,41295,75093,5,Employed,62370,1,458,0
46,140398,20700,5,Employed,48366,1,396,0
30,21000,43533,0,Self-employed,56172,1,466,1
80,90227,29003,5,Unemployed,29761,1,460,1
21,21709,92572,1,Employed,11053,0,628,0
29,53134,71701,3,Employed,2160,1,500,0
69,71399,29521,4,Self-employed,87573,1,445,1
31,43147,837,1,Self-employed,75748,1,429,1
29,66195,75158,2,Unemployed,34757,1,475,1
58,77181,68331,5,Unemployed,91138,1,411,1
56,115556,75303,3,Self-employed,88234,0,607,0
74,20670,17400,2,Employed,17076,0,575,1
61,84580,21342,4,Self-employed,42747,1,458,1
67,135118,82256,0,Employed,62438,1,506,0
56,85889,43321,0,Unemployed,37053,0,656,1
35,27589,83195,2,Unemployed,56852,1,459,0
36,96983,28940,2,Employed,55634,1,453,1
75,67858,23285,3,Self-employed,68128,0,612,1
70,114253,46391,5,Unemployed,97615,0,555,1
65,122226,83357,3,Employed,89255,1,462,0
27,103874,17888,1,Unemployed,46024,0,636,0
54,122011,57929,1,Self-employed,64780,0,591,1
55,28771,96748,4,Employed,10364,0,620,0
52,63008,15319,4,Self-employed,90885,0,530,0
70,104056,41305,1,Employed,4840,1,518,0
50,111161,37924,1,Self-employed,7925,1,461,0
55,85245,63531,3,Self-employed,3200,0,605,0
75,145015,71574,2,Self-employed,60812,0,583,0
75,116209,55622,1,Employed,86438,0,632,1
80,44031,4205,1,Self-employed,6495,1,467,1
54,122532,25266,2,Employed,93911,0,596,0
56,145359,12004,4,Employed,81427,1,414,1
34,43302,2712,4,Employed,15853,0,551,1
79,123892,81032,2,Employed,41701,1,439,1
33,75431,46639,1,Unemployed,34143,1,443,1
68,60584,16023,2,Employed,15991,0,612,0
40,136346,64209,3,Self-employed,4928,1,496,1
66,59969,60837,1,Unemployed,55432,0,597,1
79,93727,81670,5,Unemployed,58296,0,553,0
65,46449,13091,4,Self-employed,49191,1,405,0
23,63875,68911,4,Employed,49733,1,437,1
52,73849,4648,3,Employed,71617,1,453,1
56,35637,66883,5,Employed,20686,1,462,1
71,67232,64937,2,Employed,81366,0,621,1
47,27869,52593,1,Self-employed,25298,0,588,1
31,91250,75775,3,Self-employed,5856,0,616,1
48,89707,12817,2,Employed,86867,1,436,0
63,84539,59350,2,Self-employed,48784,0,605,1
64,143281,24759,5,Unemployed,98488,1,396,1
56,52599,19311,3,Employed,70400,1,420,0
63,46643,31339,1,Unemployed,50444,1,437,0
24,78616,36346,2,Unemployed,18093,1,497,0
50,85710,84109,3,Employed,75506,0,614,0
21,68560,79426,2,Employed,20685,0,567,1
65,99208,28097,1,Employed,78190,1,480,1
26,135819,40321,0,Employed,77206,1,493,1
31,63132,28312,5,Self-employed,998,0,595,1
32,25286,67675,0,Self-employed,59947,1,500,1
51,73846,36721,3,Employed,8279,1,430,1
63,144783,36347,0,Employed,29353,0,657,0
38,48150,77156,0,Unemployed,78587,0,640,1
39,90313,89819,1,Employed,83314,0,610,0
22,145320,77516,3,Unemployed,38107,1,495,0
43,60550,90862,3,Self-employed,17356,0,573,1
55,18435,685,5,Unemployed,84607,1,387,0
35,32463,35082,5,Self-employed,53390,1,425,1
67,44006,95536,4,Employed,23628,0,617,0
70,145744,4926,5,Employed,45774,1,469,1
65,17165,75451,0,Employed,65996,0,611,0
56,72280,49470,2,Employed,60282,0,614,1
67,66833,54134,5,Self-employed,99469,1,414,1
68,32890,65510,3,Self-employed,35551,0,559,1
43,86204,90886,2,Self-employed,7589,1,454,1
50,57824,3500,2,Self-employed,82060,1,477,1
40,99235,59646,0,Unemployed,80996,0,583,0
62,22856,3795,2,Employed,70029,0,613,0
21,61132,96295,4,Self-employed,74549,1,440,0
51,52913,98333,4,Unemployed,76600,1,415,1
57,97580,16951,2,Unemployed,18343,1,492,0
55,93119,31775,4,Self-employed,76320,0,584,1
32,114289,84025,5,Self-employed,74741,0,570,1
76,82585,35231,5,Unemployed,3490,1,471,0
42,35106,83367,4,Employed,45224,0,577,0
42,116662,59799,1,Unemployed,11681,0,600,1
48,72324,56836,2,Self-employed,36155,1,444,0
40,109447,40297,4,Self-employed,67326,1,403,1
30,59129,36065,4,Self-employed,51995,0,557,1
38,112362,51109,0,Self-employed,38158,0,627,1
61,136013,51322,0,Self-employed,95858,1,457,1
36,98215,12595,3,Unemployed,67397,1,413,1
68,38581,40904,5,Unemployed,11961,1,411,0
31,128159,88061,0,Self-employed,24572,1,475,0
70,43728,3057,0,Employed,94539,0,623,1
25,124874,35829,0,Unemployed,49336,1,449,1
59,61726,96518,0,Unemployed,42732,1,452,0
34,37320,3442,3,Self-employed,37415,0,588,0
51,50506,79601,3,Employed,36264,0,625,1
39,98184,93559,4,Employed,97213,0,597,0
27,122363,3600,2,Employed,62075,1,433,1
44,107900,52719,5,Self-employed,92910,1,385,0
42,89812,6550,3,Self-employed,81540,0,558,1
47,139736,32843,4,Unemployed,30088,0,553,0
37,103570,42480,0,Unemployed,75027,1,467,1
38,144095,14677,5,Self-employed,96823,0,573,0
58,103871,2845,2,Employed,7903,1,489,0
27,134434,19731,3,Self-employed,25188,1,436,1
78,99620,40694,3,Self-employed,5974,1,464,0
50,55862,28767,3,Employed,95039,1,426,1
68,87093,7025,4,Unemployed,73685,1,409,0
77,48792,20417,5,Unemployed,63952,0,517,1
77,116471,74375,4,Unemployed,24994,0,605,0
55,117692,47294,5,Employed,14581,1,408,1
43,92033,91969,1,Employed,49121,0,597,0
64,74389,55362,1,Unemployed,59001,0,565,1
21,49306,89340,2,Self-employed,40918,0,556,0
43,136875,34032,0,Unemployed,26089,0,593,1
47,24184,56868,4,Unemployed,3078,0,573,1
21,90353,15445,2,Self-employed,83804,1,441,1
25,85416,22680,0,Self-employed,54915,1,507,0
72,59839,2295,1,Self-employed,82041,1,474,1
72,53783,41426,4,Employed,98921,0,540,0
44,54902,32987,2,Employed,97624,1,409,1
68,42997,65799,4,Self-employed,9384,0,610,0
49,81288,44329,3,Unemployed,54606,1,455,1
37,136512,82394,0,Unemployed,75746,0,645,0
68,46005,55197,3,Unemployed,17364,1,461,0
30,62284,30379,5,Unemployed,38292,0,544,1
71,23922,34472,2,Employed,42783,0,594,0
67,82117,54572,0,Employed,46568,0,588,0
71,89079,35821,2,Unemployed,90724,0,580,1
63,23500,62777,1,Employed,93883,1,418,0
72,116355,12903,5,Employed,40832,1,449,0
74,88923,83162,4,Employed,94922,1,444,0
75,64819,3567,5,Self-employed,5605,1,408,1
37,89112,4929,1,Self-employed,81611,1,450,0
75,46421,24795,1,Employed,23711,0,587,1
69,49948,27008,1,Employed,81054,0,600,0
72,67427,40608,4,Self-employed,34182,1,420,0
28,132830,66846,4,Employed,62092,1,455,0
72,143189,27974,0,Unemployed,80827,0,610,1
61,114019,30042,3,Self-employed,52661,1,489,0
21,69064,89890,1,Employed,61503,1,449,0
72,144049,29353,0,Employed,91213,0,633,1
45,92135,25492,3,Employed,43255,1,427,0
74,92453,47502,2,Self-employed,6076,1,510,1
76,84634,60411,0,Self-employed,94565,1,444,1
74,38974,39332,4,Employed,64420,0,524,0
76,78911,38715,0,Employed,577,1,479,1
73,121438,11857,1,Employed,57362,1,504,0
70,41093,66797,1,Self-employed,3415,0,583,1
32,135159,2683,0,Unemployed,87828,0,589,1
68,79011,2593,1,Unemployed,62081,0,592,0
37,112727,12476,0,Employed,59891,1,478,1
59,122384,49315,1,Unemployed,53561,0,644,1
67,128242,11718,1,Unemployed,98528,1,468,1
76,48523,21612,1,Self-employed,76897,0,612,1
80,79971,64016,4,Employed,72805,1,411,1
44,54415,57893,2,Self-employed,83811,0,584,0
45,128750,70735,5,Self-employed,81926,1,458,1
73,99305,77257,3,Employed,27423,0,598,0
46,139434,99491,2,Employed,978,0,649,1
23,135498,50484,3,Unemployed,50432,0,609,0
28,85102,25316,1,Self-employed,56499,1,484,0
58,51198,31967,3,Employed,34778,1,452,1
30,52574,89284,4,Unemployed,56923,0,589,1
31,46200,89253,1,Employed,97372,1,436,1
40,128761,83055,1,Self-employed,11946,1,513,0
75,22345,64869,3,Unemployed,2732,1,441,1
33,125915,55664,0,Self-employed,74765,0,569,0
52,36885,8157,0,Unemployed,66375,0,617,0
25,122014,84269,5,Employed,13605,1,488,0
21,43823,81524,5,Self-employed,70030,1,450,1
52,33494,34928,2,Employed,62139,0,599,1
59,108078,72886,2,Unemployed,80261,1,420,0
47,123309,54313,2,Employed,50835,1,489,0
31,18405,62830,0,Employed,73713,1,468,1
35,108265,88874,4,Employed,93094,1,436,0
70,15263,28293,0,Employed,28523,0,578,1
61,61985,57826,2,Self-employed,35396,0,578,0
35,77014,49230,5,Employed,88324,1,454,1
26,60541,28509,2,Employed,11640,1,459,0
70,146640,25456,0,Employed,14870,1,483,1
37,142033,56168,1,Self-employed,4643,0,613,0
48,51171,71080,1,Unemployed,73982,1,464,1
26,98306,95919,4,Unemployed,55463,0,606,1
53,31234,80850,0,Self-employed,747,1,476,0
30,97756,22804,3,Self-employed,80966,1,422,0
29,57956,18062,1,Unemployed,10298,0,580,1
71,63895,82279,2,Self-employed,84885,0,545,0
35,124756,7310,2,Self-employed,77325,0,608,1
75,142424,97491,2,Unemployed,319,1,517,0
33,110852,79168,0,Self-employed,55771,0,628,1
48,123585,22153,0,Self-employed,9549,1,531,1
62,73196,50072,4,Employed,15800,0,574,1
50,48296,92599,5,Self-employed,61576,1,428,1
68,17023,21530,3,Unemployed,67270,1,468,1
30,51647,47209,5,Employed,25459,1,436,1
61,129799,34248,2,Employed,36717,0,585,0
71,16134,64102,0,Unemployed,23538,1,461,0
73,71160,50639,4,Unemployed,48035,0,592,0
33,142432,2465,1,Self-employed,1999,1,520,1
54,57266,43238,0,Self-employed,57324,0,601,1
38,41717,13204,2,Self-employed,58121,1,443,1
23,50248,76784,4,Employed,21905,1,487,1
67,24925,10945,3,Self-employed,5665,0,606,0
55,49332,11855,4,Unemployed,82467,0,570,0
43,16611,30003,5,Unemployed,71381,0,524,1
51,23251,50244,1,Self-employed,1808,1,483,0
